Ticker,Name,Sector,Date
ADSC-ME,ADS Crude Carriers,Energi,29.08.2020
AKA,Akastor,Energi,29.08.2020
AKERBP,Aker BP,Energi,29.08.2020
AKSO,Aker Solutions,Energi,29.08.2020
AQUA,AqualisBraemar,Energi,29.08.2020
ARCHER,Archer,Energi,29.08.2020
ATLA NOK,Atlantic Petroleum,Energi,29.08.2020
AVANCE,Avance Gas Holding,Energi,29.08.2020
AWDR,Awilco Drilling,Energi,29.08.2020
ALNG,Awilco LNG,Energi,29.08.2020
AGS,Axxis Geo Solutions,Energi,29.08.2020
BDRILL,Borr Drilling,Energi,29.08.2020
BWE,BW Energy Limited,Energi,29.08.2020
BWLPG,BW LPG,Energi,29.08.2020
BWO,BW Offshore Limited,Energi,29.08.2020
DNO,DNO,Energi,29.08.2020
DOF,DOF,Energi,29.08.2020
EIOF,Eidesvik Offshore,Energi,29.08.2020
EMGS,Electromagnetic Geoservices,Energi,29.08.2020
EMAS,EMAS Offshore,Energi,29.08.2020
EPIC-ME,Epic Gas,Energi,29.08.2020
EQNR,Equinor,Energi,29.08.2020
FLNG,FLEX LNG,Energi,29.08.2020
FRO,Frontline,Energi,29.08.2020
GEOS-ME,Golden Energy Offshore Services,Energi,29.08.2020
HAFNIA,Hafnia Limited,Energi,29.08.2020
HAVI,Havila Shipping,Energi,29.08.2020
HUNT,Hunter Group,Energi,29.08.2020
HLNG,Höegh LNG Holdings,Energi,29.08.2020
IOX,Interoil Exploration and Production,Energi,29.08.2020
JPK-ME,J.P. Kenny Petroleum,Energi,29.08.2020
KVAER,Kværner,Energi,29.08.2020
MGN,Magnora,Energi,29.08.2020
MSEIS,Magseis Fairfield,Energi,29.08.2020
NORTH,North Energy,Energi,29.08.2020
NODL,Northern Drilling,Energi,29.08.2020
NOL,Northern Ocean Ltd.,Energi,29.08.2020
NOR,Norwegian Energy Company,Energi,29.08.2020
OCY,Ocean Yield,Energi,29.08.2020
OTS,Oceanteam,Energi,29.08.2020
ODL,Odfjell Drilling,Energi,29.08.2020
OKEA,OKEA,Energi,29.08.2020
OET,Okeanis Eco Tankers,Energi,29.08.2020
PEN,Panoro Energy,Energi,29.08.2020
PSE,Petrolia,Energi,29.08.2020
PNOR,PetroNor E&P Limited,Energi,29.08.2020
PGS,PGS,Energi,29.08.2020
PLCS,Polarcus,Energi,29.08.2020
PRS,Prosafe,Energi,29.08.2020
QEC,Questerre Energy Corporation,Energi,29.08.2020
RAKP,RAK Petroleum,Energi,29.08.2020
REACH,Reach Subsea,Energi,29.08.2020
SDSD,S.D. Standard Drilling,Energi,29.08.2020
SBX,SeaBird Exploration,Energi,29.08.2020
SDRL,Seadrill,Energi,29.08.2020
SHLF,Shelf Drilling,Energi,29.08.2020
SIOFF,Siem Offshore,Energi,29.08.2020
