,0
0,2020
1,FIVEPG
2,AASB-ME
3,ASC
4,ADE
5,ADSC-ME
6,AEGA
7,AFG
8,AGLX-ME
9,AKA
10,AKER
11,AKBM-ME
12,AKERBP
13,ACC-ME
14,AOW-ME
15,AKSO
16,AKVA
17,AMSC
18,ANDF-ME
19,ABT
20,AQUA
21,ARCHER
22,AZT
23,ARCUS
24,AFK
25,ARR
26,ASETEK
27,ATEA
28,ATLA
29,ASA
30,AURG
31,AUSS
32,AVANCE
33,AWDR
34,ALNG
35,AXA
36,AGS
37,AYFIE-ME
38,B2H
39,BAKKA
40,BALT-ME
41,BEL
42,BGBIO
43,BEWI-ME
44,BSP-ME
45,BON
46,BOR
47,BDRILL
48,BRG
49,BOUVET
50,BRA-ME
51,BWE
52,BWLPG
53,BWO
54,BMA
55,CARA
56,CLOUD-ME
57,COV
58,CRAYON
59,CSAM-ME
60,DNB
61,DNO
62,DOF
63,EAM
64,EIOF
65,EMGS
66,ELE
67,ELK
68,ELABS-ME
69,ELOP-ME
70,ENDUR
71,ENTRA
72,EPIC-ME
73,EQNR
74,EPR
75,EXTX-ME
76,FJORD
77,FKRAFT
78,FLNG
79,FRO
80,GIG
81,RISH
82,GENT-ME
83,GJF
84,GEOS-ME
85,GOGL
86,GOD
87,GSF
88,GRONG-ME
89,GYL
90,HAFNIA
91,HAVI
92,HYARD
93,HELG
94,HEX
95,HBC
96,HOC-ME
97,HUNT
98,HYPRO-ME
99,HLNG
100,HSPG
101,IFISH-ME
102,ICE
103,IDEX
104,INDUCT-ME
105,INFRNT
106,INSR
107,INSTA-ME
108,IOX
109,ITE
110,JPK-ME
111,JIN
112,JAEREN
113,KAHOOT-ME
114,KID
115,KIT
116,KCC
117,KOMP
118,KOA
119,KOG
120,KVAER
121,LAVO-ME
122,LSG
123,LIFE-ME
124,LSTSB-ME
125,LINK
126,MGN
127,MSEIS
128,MEDI
129,MELG
130,MRCEL-ME
131,MNTR-ME
132,MOWI
133,MPCC
134,MULTI
135,NAPA
136,NATTO
137,NAVA
138,NKR
139,NEL
140,NEXT
141,NISB-ME
142,NORBIT
143,NCOD-ME
144,NOM
145,NANO
146,NOD
147,NHY
148,NSKOG
149,NORTH
150,NODL
151,NOL
152,NRS
153,NAS
154,NOR
155,NOFI
156,NPRO
157,NRC
158,NTS
159,OBSERV
160,OCY
161,OTS
162,ODL
163,ODF
164,ODFB
165,OHT-ME
166,OKEA
167,OET
168,OLT
169,ORK
170,OTELLO
171,PEN
172,PARB
173,PCIB
174,PSE
175,PNOR
176,PEXIP
177,PGS
178,PHLY
179,PHO
180,PPG
181,PMG-ME
182,PLCS
183,POL
184,PLT
185,PRS
186,PROTCT
187,QFR
188,QFUEL-ME
189,QEC
190,RAKP
191,REACH
192,REC
193,RIVER-ME
194,ROM
195,ROMSB-ME
196,SDSD
197,SAGA
198,SALM
199,SALME-ME
200,SALMON
201,SADG
202,SAS
203,SATS
204,SBANK
205,SCANA
206,SSO
207,SCHA
208,SCHB
209,SBX
210,SDRL
211,SSG
212,SBO
213,SHLF
214,SIOFF
215,SIKRI-ME
216,SKUE
217,SOFTOX-ME
218,SOGN
219,SOLON
220,SOFF
221,SBVG
222,NONG
223,SNOR
224,RING
225,MING
226,SRBANK
227,SOAG
228,SPOL
229,MORG
230,SOR
231,SBTE
232,SVEG
233,SPOG
234,SNI
235,STB
236,STORM
237,STRONG
238,SUBC
239,SUNSB-ME
240,SUSB-ME
241,TRVX
242,TECH
243,TECO-ME
244,TEL
245,TGS
246,THIN
247,TIETOO
248,TOM
249,TOTG
250,TRE
251,TYSB-ME
252,ULTIMO
253,VACC-ME
254,VEI
255,VISTIN
256,VOLUE-ME
257,VVL
258,VOW
259,WALWIL
260,WSTEP
261,WWI
262,WWIB
263,WILS
264,XXL
265,YAR
266,ZAL
267,ZAP-ME
268,ZENA-ME
269,ZWIPE-ME
