Ticker,Navn,Markedsverdi (MNOK)
2020,2020 Bulkers,"1330,25"
FIVEPG,5th Planet Games,"193,5"
AASB-ME,Aasen Sparebank,"115,59"
ASC,ABG Sundal Collier Holding,"2039,53"
ADE,Adevinta,"106153,22"
ADSC-ME,ADS Crude Carriers,"419,86"
AEGA,Aega,"65,35"
AFG,AF Gruppen,"18796,61"
AKA,Akastor,"1730,15"
AKER,Aker,"31046,01"
AKBM-ME,Aker BioMarine,"8347,83"
AKERBP,Aker BP,"65395,72"
AKSO,Aker Solutions,"5098,93"
AKVA,AKVA Group,"2079,08"
AMSC,American Shipping Company,"1812,43"
ANDF-ME,Andfjord Salmon,"1870,39"
ABT,Aqua Bio Technology,"69,41"
AQUA,AqualisBraemar,"379,71"
ARCHER,Archer,"395,72"
AZT,ArcticZymes Technologies,"2344,23"
ARCUS,Arcus,"2928,99"
AFK,Arendals Fossekompani,"6305,53"
ASETEK,Asetek,"1968,21"
ATEA,Atea,"11701,15"
ATLA NOK,Atlantic Petroleum,"24,11"
ASA,Atlantic Sapphire,"7948,4"
AURG,Aurskog Sparebank,"642,84"
AUSS,Austevoll Seafood,"16993,59"
AVANCE,Avance Gas Holding,"1306,23"
AWDR,Awilco Drilling,"168,66"
ALNG,Awilco LNG,"153,76"
AXA,Axactor,"1329,29"
AGS,Axxis Geo Solutions,"44,59"
AYFIE-ME,ayfie Group,"286,77"
B2H,B2Holding,"2340,72"
BAKKA,Bakkafrost,"33103,62"
BALT-ME,Baltic Sea Properties,"205,37"
BEL,Belships,"1490,96"
BGBIO,BerGenBio,"3115,18"
BSP-ME,Black Sea Property,"49,6"
BON,Bonheur,"9994,99"
BOR,Borgestad,"205,38"
BDRILL,Borr Drilling,"1424,52"
BRG,Borregaard,"12190,2"
BOUVET,Bouvet,"5616,74"
BRA-ME,BRAbank,"300,44"
BWE,BW Energy Limited,"4140,16"
BWLPG,BW LPG,"5206,24"
BWO,BW Offshore Limited,"6038,71"
BMA,Byggma,"747,07"
CARA,Carasent,"922,39"
CLOUD-ME,Cloudberry Clean Energy,"478,91"
COV,ContextVision,"1903,24"
CRAYON,Crayon Group Holding,"7879,36"
DNB,DNB,"226278,79"
DNO,DNO,"5647,76"
DOF,DOF,"184,66"
EAM,EAM Solar,"89,08"
EIOF,Eidesvik Offshore,"183,96"
EMGS,Electromagnetic Geoservices,"94,04"
ELE,Element,"98,09"
ELK,Elkem,"10428,71"
ELOP-ME,ELOP,"358,54"
EMAS,EMAS Offshore,"127,15"
ENDUR,Endúr,"401,99"
ENTRA,Entra,"23208,38"
EPIC-ME,Epic Gas,"1876,45"
EQNR,Equinor,"473246,33"
EPR,Europris,"7640,92"
EXTX-ME,EXACT Therapeutics,"1078,84"
FJORD,Fjord1,"4325,37"
FKRAFT,Fjordkraft Holding,"9057,17"
FLNG,FLEX LNG,"2735,29"
FRO,Frontline,"14688,54"
GIG,Gaming Innovation Group,"639,31"
RISH,GC Rieber Shipping,"524,8"
GENT-ME,Gentian Diagnostics,"985,77"
GJF,Gjensidige Forsikring,"94097,89"
GEOS-ME,Golden Energy Offshore Services,"47,04"
GOGL,Golden Ocean Group,"5226,77"
GOD,Goodtech,"160,56"
GSF,Grieg Seafood,"11871,61"
GRONG-ME,Grong Sparebank,"329,94"
GYL,Gyldendal,"1148,95"
HAFNIA,Hafnia Limited,"5953,13"
HAVI,Havila Shipping,"71,33"
HYARD,Havyard Group,"48,22"
HELG,Helgeland Sparebank,"1728,31"
HEX,Hexagon Composites,"8014,7"
HIDDN,Hiddn Solutions,"141,61"
HBC,Hofseth BioCare,"2895,8"
HUNT,Hunter Group,"1884,31"
HLNG,Höegh LNG Holdings,"876,07"
HSPG,Høland og Setskog Sparebank,"83,92"
IFISH-ME,Ice Fish Farm,"1810,35"
ICE,Ice Group,"3109,16"
IDEX,IDEX Biometrics,"1260,95"
INDUCT-ME,Induct,"59,63"
INFRNT,Infront,"955,36"
INSR,Insr Insurance Group,"139,28"
INSTA-ME,Instabank,-
IOX,Interoil Exploration and Production,"325,22"
ITE,Itera,"1153,08"
JPK-ME,J.P. Kenny Petroleum,"64,95"
JIN,Jinhui Shipping and Transportation,"378,04"
JAEREN,Jæren Sparebank,"813,85"
KAHOOT-ME,Kahoot!,"16379,1"
KID,Kid,"3162,19"
KIT,Kitron,"2783,28"
KCC,Klaveness Combination Carriers,"1799,88"
KOMP,Komplett Bank,"1379,13"
KOA,Kongsberg Automotive,"1896,48"
KOG,Kongsberg Gruppen,"24874,12"
KVAER,Kværner,"2764,83"
LAVO-ME,Lavo.tv,"18,15"
LSG,Lerøy Seafood Group,"34287,5"
LIFE-ME,Lifecare,"521,97"
LSTSB-ME,Lillestrøm Sparebank,128
MGN,Magnora,"651,13"
MSEIS,Magseis Fairfield,"400,16"
MEDI,Medistim,"4277,2"
MELG,Melhus Sparebank,"385,78"
MRCEL-ME,Mercell Holding,"2289,36"
MOWI,Mowi,"94786,46"
MPCC,MPC Container Ships,"875,89"
MULTI,Multiconsult,"1854,06"
NAPA,Napatech,"873,76"
NATTO,NattoPharma,"371,12"
NAVA,Navamedic,"324,57"
NKR,Nekkar,"411,89"
NEL,NEL,"26276,07"
NEXT,NEXT Biometrics Group,161
NISB-ME,Nidaros Sparebank,"117,5"
NORBIT,NORBIT,"965,38"
